know-NP_to_VPeventive-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (VP (TO to) (VP (VB do) (NP (NN something) ) ) ) ) )
know-to_VPeventive-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (VP (TO to) (VP (VB do) ) (NP (NN something) ) ) ) ) )
know-to_VPeventive-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (VP (TO to) (VP (VB do) ) (NP (NN something) ) ) ) )
know-about_NP-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (PP (IN about) (NP (NN something) ) ) ) ) )
know-about_NP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (IN about) (NP (NN something) ) ) ) )
know-to_NP_that_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (TO to) (NP (NN someone) ) ) (SBAR (IN that) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) )
know-about_whether_S-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (PP (IN about) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) ) ) )
know-about_whether_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (IN about) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) ) )
know-NP_that_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-to_NP_whether_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (TO to) (NP (NN someone) ) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-S-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) )
know-that_S-passive	(S (NP (NN someone) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) ) )
know-that_S-active	(S (NP (NN someone) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-NP_VP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (VP (VB do) (NP (NN something) ) ) ) )
know-null-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) ) ) )
know-null-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) ) )
know-to_NP_whether_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (TO to) (NP (NN someone) ) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (VB happen) ) ) ) ) )
know-Slift-active	(S (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) (, ,) (S (NP (PRP I) ) (VP (VB1 (VB know) (TENSE PRES) ) ) ) )
know-NP_whichNP_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (WHNP (WDT which) (NN thing) ) (S (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-for_NP_to_VP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN for) (S (NP (NN something) ) (VP (TO to) (VP (VB happen) ) ) ) ) ) )
know-that_S_future-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN that) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) ) )
know-that_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN that) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) )
know-NP_to_VPstative-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (VP (TO to) (VP (VB have) (NP (NN something) ) ) ) ) )
know-whichNP_to_VP-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (WHNP (WDT which) (NN thing) ) (S (VP (TO to) (VP (VB do) ) ) ) ) ) ) )
know-whichNP_to_VP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (WHNP (WDT which) (NN thing) ) (S (VP (TO to) (VP (VB do) ) ) ) ) ) )
know-to_VPstative-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (VP (TO to) (VP (VB have) (NP (NN something) ) ) ) ) ) )
know-to_VPstative-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (VP (TO to) (VP (VB have) (NP (NN something) ) ) ) ) )
know-whether_S-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) ) )
know-whether_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-to_NP_that_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (TO to) (NP (NN someone) ) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-NP_whether_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-NP_to_NP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN something) ) (PP (TO to) (NP (NN someone) ) ) ) )
know-that_S_notense-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VB happen) ) ) ) ) ) )
know-that_S_notense-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VB happen) ) ) ) ) )
know-to_NP_that_S_notense-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (PP (TO to) (NP (NN someone) ) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VB happen) ) ) ) ) )
know-whether_to_VP-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN whether) (S (VP (TO to) (VP (VB do) (NP (NN something) ) ) ) ) ) ) ) )
